"teamid","name"
"ALT","Altoona Mountain City"
"ANA","Anaheim Angels"
"ARI","Arizona Diamondbacks"
"ATL","Atlanta Braves"
"BL1","Baltimore Canaries"
"BL4","Baltimore Marylands"
"BLU","Baltimore Monumentals"
"BL3","Baltimore Orioles"
"BL2","Baltimore Orioles"
"BLN","Baltimore Orioles"
"BLA","Baltimore Orioles"
"BAL","Baltimore Orioles"
"BLF","Baltimore Terrapins"
"BOS","Boston Americans"
"BSN","Boston Beaneaters"
"BSN","Boston Bees"
"BSN","Boston Braves"
"BSN","Boston Doves"
"BSN","Boston Red Caps"
"BOS","Boston Red Sox"
"BS1","Boston Red Stockings"
"BS2","Boston Reds"
"BSP","Boston Reds"
"BSU","Boston Reds"
"BSN","Boston Rustlers"
"BR3","Brooklyn Atlantics"
"BR2","Brooklyn Atlantics"
"BR3","Brooklyn Bridegrooms"
"BRO","Brooklyn Bridegrooms"
"BRO","Brooklyn Dodgers"
"BR1","Brooklyn Eckfords"
"BR4","Brooklyn Gladiators"
"BR3","Brooklyn Grays"
"BRO","Brooklyn Grooms"
"BRO","Brooklyn Robins"
"BRO","Brooklyn Superbas"
"BRF","Brooklyn Tip-Tops"
"BRP","Brooklyn Ward's Wonders"
"BFN","Buffalo Bisons"
"BFP","Buffalo Bisons"
"BUF","Buffalo Blues"
"BUF","Buffalo Buffeds"
"CAL","California Angels"
"CHF","Chicago Chi-Feds"
"CHN","Chicago Colts"
"CHN","Chicago Cubs"
"CHN","Chicago Orphans"
"CHP","Chicago Pirates"
"CHF","Chicago Whales"
"CHA","Chicago White Sox"
"CHN","Chicago White Stockings"
"CH2","Chicago White Stockings"
"CH1","Chicago White Stockings"
"CHU","Chicago/Pittsburgh (Union League)"
"CN3","Cincinnati Kelly's Killers"
"CNU","Cincinnati Outlaw Reds"
"CN2","Cincinnati Red Stockings"
"CIN","Cincinnati Redlegs"
"CN1","Cincinnati Reds"
"CIN","Cincinnati Reds"
"CL3","Cleveland Blues"
"CL2","Cleveland Blues"
"CLE","Cleveland Blues"
"CLE","Cleveland Bronchos"
"CL1","Cleveland Forest Citys"
"CLE","Cleveland Indians"
"CLP","Cleveland Infants"
"CLE","Cleveland Naps"
"CL4","Cleveland Spiders"
"COL","Colorado Rockies"
"CL5","Columbus Buckeyes"
"CL6","Columbus Solons"
"DET","Detroit Tigers"
"DTN","Detroit Wolverines"
"ELI","Elizabeth Resolutes"
"FLO","Florida Marlins"
"FW1","Fort Wayne Kekiongas"
"HAR","Hartford Dark Blues"
"HR1","Hartford Dark Blues"
"HOU","Houston Astros"
"HOU","Houston Colt .45's"
"IN1","Indianapolis Blues"
"IND","Indianapolis Hoosiers"
"IN3","Indianapolis Hoosiers"
"IN2","Indianapolis Hoosiers"
"KC1","Kansas City Athletics"
"KCN","Kansas City Cowboys"
"KCU","Kansas City Cowboys"
"KC2","Kansas City Cowboys"
"KCF","Kansas City Packers"
"KCA","Kansas City Royals"
"KEO","Keokuk Westerns"
"LAA","Los Angeles Angels"
"LAA","Los Angeles Angels of Anaheim"
"LAN","Los Angeles Dodgers"
"LS3","Louisville Colonels"
"LS2","Louisville Colonels"
"LS2","Louisville Eclipse"
"LS1","Louisville Grays"
"MIA","Miami Marlins"
"MID","Middletown Mansfields"
"ML1","Milwaukee Braves"
"MLA","Milwaukee Brewers"
"ML4","Milwaukee Brewers"
"MLU","Milwaukee Brewers"
"MIL","Milwaukee Brewers"
"ML3","Milwaukee Brewers"
"ML2","Milwaukee Grays"
"MIN","Minnesota Twins"
"MON","Montreal Expos"
"NH1","New Haven Elm Citys"
"NY1","New York Giants"
"NYP","New York Giants"
"NY1","New York Gothams"
"NYA","New York Highlanders"
"NY4","New York Metropolitans"
"NYN","New York Mets"
"NY2","New York Mutuals"
"NY3","New York Mutuals"
"NYA","New York Yankees"
"NEW","Newark Pepper"
"OAK","Oakland Athletics"
"PHP","Philadelphia Athletics"
"PHN","Philadelphia Athletics"
"PH1","Philadelphia Athletics"
"PHA","Philadelphia Athletics"
"PH4","Philadelphia Athletics"
"PHI","Philadelphia Blue Jays"
"PH3","Philadelphia Centennials"
"PHU","Philadelphia Keystones"
"PHI","Philadelphia Phillies"
"PHI","Philadelphia Quakers"
"PH2","Philadelphia Whites"
"PIT","Pittsburg Alleghenys"
"PT1","Pittsburg Alleghenys"
"PTP","Pittsburgh Burghers"
"PIT","Pittsburgh Pirates"
"PTF","Pittsburgh Rebels"
"PRO","Providence Grays"
"RIC","Richmond Virginians"
"RC2","Rochester Broncos"
"RC1","Rockford Forest Citys"
"SDN","San Diego Padres"
"SFN","San Francisco Giants"
"SEA","Seattle Mariners"
"SE1","Seattle Pilots"
"SL3","St. Louis Brown Stockings"
"SL2","St. Louis Brown Stockings"
"SL4","St. Louis Brown Stockings"
"SLN","St. Louis Browns"
"SL4","St. Louis Browns"
"SLA","St. Louis Browns"
"SLN","St. Louis Cardinals"
"SL5","St. Louis Maroons"
"SLU","St. Louis Maroons"
"SLN","St. Louis Perfectos"
"SL1","St. Louis Red Stockings"
"SLF","St. Louis Terriers"
"SPU","St. Paul White Caps"
"SR2","Syracuse Stars"
"SR1","Syracuse Stars"
"TBA","Tampa Bay Devil Rays"
"TBA","Tampa Bay Rays"
"TEX","Texas Rangers"
"TL1","Toledo Blue Stockings"
"TL2","Toledo Maumees"
"TOR","Toronto Blue Jays"
"TRO","Troy Haymakers"
"TRN","Troy Trojans"
"WS5","Washington Blue Legs"
"WS7","Washington Nationals"
"WS8","Washington Nationals"
"WSU","Washington Nationals"
"WS6","Washington Nationals"
"WS4","Washington Nationals"
"WAS","Washington Nationals"
"WS3","Washington Olympics"
"WS1","Washington Senators"
"WS2","Washington Senators"
"WAS","Washington Senators"
"WS9","Washington Statesmen"
"WIL","Wilmington Quicksteps"
"WOR","Worcester Ruby Legs"
